word,sum_over_NF_dims
truly,5.599674281542233
charm,5.391905905878432
wonderfully,5.264796891990504
subtle,5.2342771611720105
vibrant,5.2048019330524165
comfortable,5.190671268653314
unique,5.1281545934227
delicate,4.99912885914743
earthy,4.872749479881841
exquisite,4.834723570178579
deliciously,4.81757417947621
sophistication,4.791358777726151
perfectly,4.754437668650003
vibrancy,4.748729271257822
richness,4.682831820050831
elegance,4.664429400530671
luscious,4.644227666837766
luxurious,4.605415155917456
decadent,4.589819320335806
effortless,4.583853902171459
gentle,4.551088526201184
delicious,4.507096702498258
abundance,4.3700260491234255
tinge,4.360654031971292
sublime,4.3405398485516855
incredible,4.2867373694237205
sweetness,4.278958856932838
extraordinary,4.277321749463692
fascinate,4.267873890529822
taste,4.224796187102146
texture,4.217355797926931
flavorful,4.141721221624543
effortlessly,4.139211061886427
uniqueness,4.112731230283316
cloy,4.107556498502621
enrich,4.034420598098668
blend,4.026791966469759
goodness,4.005271196488239
sleek,3.9838895005816597
flavour,3.979897531506613
zingy,3.9614306349271775
palate,3.9299432785435426
richly,3.9074758046030738
rich,3.9053604493913774
diverse,3.8988386567900424
saccharine,3.8830041875015886
abundant,3.875690153230301
glorious,3.873106096547041
opulence,3.867884425445947
aroma,3.8023144149368453
tradition,3.798789649435982
fruity,3.792744941373722
rustic,3.7921105271482762
remarkable,3.7878497995863905
citrusy,3.7606815434407492
smokiness,3.7447583824441226
grandeur,3.7360009749208047
smoothness,3.7208805300497776
splendor,3.7194590660363316
velvety,3.68601929146452
sweet,3.6767975773197845
exquisiteness,3.6730892974842173
soft,3.635669843953348
opulent,3.59997079653414
silky,3.596671346055971
fragrant,3.5958968504910684
scent,3.590298239324073
flawless,3.510130086042969
magnificent,3.5085930799676546
zesty,3.5030164026924275
generous,3.502779905585923
concoction,3.4859089197245465
splendour,3.4619557202544753
easy,3.4065542692877377
mellow,3.3880243435355215
flavor,3.3626866606869625
supple,3.3368474349653723
bitterness,3.3302899808916586
craftsmanship,3.2914282082764865
tartness,3.2506002731177754
neat,3.2222835821665585
pungent,3.195458926129051
mouthfeel,3.1927316891626187
creaminess,3.1806903102360637
robust,3.180168172092029
affluence,3.169233159913349
spiciness,3.1515599450655127
boast,3.118975234628154
crisp,3.117942373694328
glossy,3.0816353530196943
efficient,3.051967161309883
honeyed,3.0312025681550923
aftertaste,3.015293934879873
succulent,2.9911291422495663
saltiness,2.9854618864277622
buttery,2.9812786011887344
creamy,2.978546751558216
juicy,2.972980119205805
syrupy,2.972780841698265
springy,2.9691277616467104
minty,2.9513962590680887
smooth,2.8981903158002593
vast,2.896563227839469
tannin,2.8675638968340293
malty,2.847420475125042
peppery,2.819030461805042
salty,2.7891897877109404
viscous,2.7303667117625894
patchouli,2.6998792927599284
lightweight,2.653444237004454
crunchy,2.6233480894164782
slick,2.6043620609278997
musky,2.600525453276778
nutty,2.545487557444231
spice,2.5343115950062396
vetiver,2.5245130970897995
tangy,2.5005398469101983
smoky,2.500328073689705
smell,2.481352085382293
seamlessly,2.4770678919772404
fizzy,2.435718301350983
spicy,2.434384646606416
savoury,2.4208413166734
wealth,2.311154303508424
bergamot,2.3008772064074146
slightly,2.2863313105447487
frictionless,2.2690189314731475
thin,2.2285005706682037
ensure,2.2091509058042424
herb,2.191544134677905
blackcurrant,2.177468742992744
wealthy,2.1719234300545263
citrus,2.1326656156524058
thick,2.0843312635522793
chocolate,2.0456128927235455
transition,2.0335503742907566
gently,2.0162392783883902
honey,2.0119256053242704
resinous,1.9997186169270789
heartwood,1.9620827990727154
wood,1.9505905958303105
contour,1.9424409601615586
sweeten,1.940853248671874
veneer,1.9105531607768653
matte,1.883764800015045
continuous,1.8579583308071443
sorbet,1.8494670248068008
curve,1.8451930934965084
lychee,1.8397035078329895
transparent,1.8301488705623332
tree,1.8296958692327245
lightly,1.8185077457837113
wormwood,1.8119535250242622
rough,1.770450929405299
bumpy,1.659733024239138
glide,1.6459903740367445
guava,1.6228852975432109
aperol,1.5954924971434965
grapefruit,1.5869686672620242
elderflower,1.5424187142138979
peach,1.5125799736145686
cherry,1.4754507208533925
vermouth,1.4528448427873624
currant,1.4082940194379368
spritzer,1.3864323815348971
woody,1.3683084478515026
bamboo,1.3588601013918697
orderly,1.33841753044362
painless,1.336402383253641
raspberry,1.33256001624597
sumac,1.3300737954414097
vine,1.3124035365523645
amaretto,1.175527141884322
brown,1.1685624227262212
schnapps,1.1610547139433844
liqueur,1.1495142525463937
apricot,1.1222512239201299
surface,1.0674374502575597
twig,1.0630809550824325
oak,0.9685639905491856
willow,0.9489109453307603
walnut,0.867623101603789
bark,0.8040802237503046
smoothen,0.7788495011762604
maple,0.77343939667836
smoothly,0.6920910106951634
pine,0.5806997396087425
birch,0.380808151829376
scrape,0.3284208050713876
hickory,0.30941335096164785
allen,0.21564619169445354
harrelson,0.153791284945308
basswood,-0.11759707167275787
